ProjectGroupID,AltProjectID,ProjectID,ElementName,Division,MetroAreaID,Latitude,Longitude,Address,city,State,state_fips,ZipCode,County,MetroAreaTitle,CountyName,county_fips,cbsa_code,cbsa_name,msa_name,ProductID,ProductDescription,Active,MinSquareFootage,MaxSquareFootage,MinBaseSalesPrice,MaxBaseSalesPrice,ProductTypeID,NumberBedrooms,NumberFullBaths,NumberHalfBaths,NumberGarageSpaces
23,23,Edgewater,Edgewater (23),Atlanta,1007,34.168071,-84.431162,506 Edgewater Drive,Holly Springs,GA,13,30115,28,Atlanta,Cherokee,57,12060,Atlanta-Sandy Springs-Alpharetta GA,Atlanta GA MSA,980,Davis BSMT,Y,2370,4487,357400.00,407625.00,4,3,2,1,2
BFS,BFS3,Burnside Farms SFD,Burnside Farms SFD (BFS3),Columbia,1010,33.952038,-80.931322,117 Hay Meadow Lane,Columbia,SC,45,29209,51,Columbia,Richland ,79,17900,Columbia SC,Columbia SC MSA,001429,Pinewood SLAB,Y,2448,2662,247900.00,257900.00,4,4,2,1,2
CRW,CRW3,Club Ridge at Woodcreek SFD,Club Ridge at Woodcreek SFD (CRW3),Columbia,1010,34.122649,-80.81733,Club Ridge Rd,Elgin,SC,45,29045,51,Columbia,Richland ,79,17900,Columbia SC,Columbia SC MSA,001452,Woodlawn,Y,1857,3050,288900.00,295900.00,4,2,2,0,2
RYS,RYS3,Rocky Springs SFD,Rocky Springs SFD (RYS3),Columbia,1010,33.995136,-81.340495,309 Prismatic Way,Lexington,SC,45,29072,52,Columbia,Lexington,63,17900,Columbia SC,Columbia SC MSA,001431,Brantley,Y,2829,2876,273900.00,281900.00,4,3,2,1,2
HRD,HRD3,Harvest Ridge SFD,Harvest Ridge SFD (HRD3),Columbia,1010,34.178924,-80.774466,5 Harvest Ridge Drive,Elgin,SC,45,29045,53,Columbia,Kershaw,55,17900,Columbia SC,NULL,001425,Everest,Y,1546,1833,217900.00,221900.00,4,2,2,0,2
TO,TO,Twelve Oaks,Twelve Oaks (TO),Raleigh,1004,35.6782,-78.8709,104 Sage Oak Lane,Holly Springs,NC,37,27540,22,Raleigh/Durham,Wake,183,39580,Raleigh-Cary NC,Raleigh-Durham-Chapel Hill NC MSA,001371,Alma Slab,Y,2477,2965,523990.00,529990.00,4,3,3,0,2
WIM,WIM4,Windsor Mill SFD,Windsor Mill SFD (WIM4),Maryland,1001,38.6317,-76.9751,9325 Pepper Mill Court,Waldorf,MD,24,20603,13,Maryland,Charles,17,47900,Washington-Arlington-Alexandria DC-VA-MD-WV,Washington-Baltimore DC-MD-VA-WV CMSA,985,Sawyer,Y,2461,4733,419990.00,419990.00,NULL,NULL,NULL,NULL,NULL
CTR,CTR3,Cherokee Trail SFD,Cherokee Trail SFD (CTR3),Columbia,1010,34.004661,-81.239475,108 Hiawassee Way,Lexington,SC,45,29072,52,Columbia,Lexington,63,17900,Columbia SC,Columbia SC MSA,001461,Arline,Y,2831,4208,334900.00,341900.00,4,3,2,1,2
MT,MT,Marlboro Pointe,Marlboro Pointe (MT),Maryland,1001,38.8208,-76.7835,12902 Marlboro Pointe Drive,Upper Marlboro,MD,24,20772,15,Maryland,Prince George’s,33,47900,Washington-Arlington-Alexandria DC-VA-MD-WV,Washington-Baltimore DC-MD-VA-WV CMSA,471,Kennington BSMT,Y,3384,6677,542990.00,552990.00,4,4,3,1,2
AOS,AOS3,Ashley Oaks SFD,Ashley Oaks SFD (AOS3),Columbia,1010,34.178023,-81.005597,Winding Oak Way,Blythewood,SC,45,29016,51,Columbia,Richland ,79,17900,Columbia SC,Columbia SC MSA,001403,Browning,Y,3533,3862,428900.00,434900.00,4,5,3,1,2
