ZipCode,Latitude,Longitude,State,StateFullName,City,CityAliasName,CountyMixedCase
28311,35.171484,-78.895655,NC,North Carolina,FAYETTEVILLE,FAYETTEVILLE,Cumberland
28312,34.97795,-78.702008,NC,North Carolina,FAYETTEVILLE,FAYETTEVILLE,Cumberland
28314,35.06445,-79.018656,NC,North Carolina,FAYETTEVILLE,FAYETTEVILLE,Cumberland
28315,35.123312,-79.460264,NC,North Carolina,ABERDEEN,ABERDEEN,Moore
28318,35.0241,-78.616769,NC,North Carolina,AUTRYVILLE,AUTRYVILLE,Sampson
28319,34.4086,-79.0477,NC,North Carolina,BARNESVILLE,BARNESVILLE,Robeson
28320,34.562365,-78.752126,NC,North Carolina,BLADENBORO,BLADENBORO,Bladen
28323,35.315817,-78.855056,NC,North Carolina,BUNNLEVEL,BUNNLEVEL,Harnett
28325,35.152295,-78.102314,NC,North Carolina,CALYPSO,CALYPSO,Duplin
28326,35.287932,-79.181772,NC,North Carolina,CAMERON,CAMERON,Harnett
28327,35.354624,-79.436892,NC,North Carolina,CARTHAGE,CARTHAGE,Moore
28328,34.986013,-78.34307,NC,North Carolina,CLINTON,CLINTON,Sampson
28329,35.0021,-78.3309,NC,North Carolina,CLINTON,CLINTON,Sampson
28330,34.910118,-79.821664,NC,North Carolina,CORDOVA,CORDOVA,Richmond
28331,35.0024,-78.9738,NC,North Carolina,CUMBERLAND,CUMBERLAND,Cumberland
28332,34.657513,-78.710252,NC,North Carolina,DUBLIN,DUBLIN,Bladen
28333,35.283104,-78.019544,NC,North Carolina,DUDLEY,DUDLEY,Wayne
28334,35.277056,-78.542477,NC,North Carolina,DUNN,DUNN,Harnett
28335,35.3061,-78.6095,NC,North Carolina,DUNN,DUNN,Harnett
28337,34.70272,-78.548958,NC,North Carolina,ELIZABETHTOWN,ELIZABETHTOWN,Bladen
28338,35.098764,-79.7509,NC,North Carolina,ELLERBE,ELLERBE,Richmond
28339,35.327042,-78.741944,NC,North Carolina,ERWIN,ERWIN,Harnett
28340,34.440291,-79.14981,NC,North Carolina,FAIRMONT,FAIRMONT,Robeson
28341,35.123068,-78.167911,NC,North Carolina,FAISON,FAISON,Duplin
28342,35.192968,-78.649276,NC,North Carolina,FALCON,FALCON,Cumberland
28343,34.761667,-79.582282,NC,North Carolina,GIBSON,GIBSON,Scotland
28344,35.167305,-78.63051,NC,North Carolina,GODWIN,GODWIN,Sampson
28345,34.889132,-79.68062,NC,North Carolina,HAMLET,HAMLET,Richmond
28347,35.050194,-79.549889,NC,North Carolina,HOFFMAN,HOFFMAN,Richmond
28348,34.925262,-78.916161,NC,North Carolina,HOPE MILLS,HOPE MILLS,Cumberland
28349,34.969342,-77.933223,NC,North Carolina,KENANSVILLE,KENANSVILLE,Duplin
28350,35.240259,-79.315498,NC,North Carolina,LAKEVIEW,LAKEVIEW,Moore
28351,34.8928,-79.570087,NC,North Carolina,LAUREL HILL,LAUREL HILL,Scotland
28352,34.759283,-79.46481,NC,North Carolina,LAURINBURG,LAURINBURG,Scotland
