iter	Passed	Remaining
712	3741	1506
713	3746	1500
714	3751	1495
715	3756	1490
716	3761	1484
717	3766	1479
718	3771	1474
719	3777	1469
720	3783	1464
721	3788	1458
722	3794	1453
723	3799	1448
724	3805	1443
725	3811	1438
726	3816	1433
727	3821	1427
728	3826	1422
729	3832	1417
730	3837	1412
731	3843	1407
732	3849	1402
733	3854	1396
734	3859	1391
735	3865	1386
736	3869	1380
737	3875	1375
738	3880	1370
739	3885	1365
740	3890	1359
741	3895	1354
742	3899	1348
743	3905	1343
744	3910	1338
745	3920	1334
746	3925	1329
747	3930	1324
748	3935	1318
749	3940	1313
750	3945	1308
751	3950	1302
752	3955	1297
753	3960	1292
754	3965	1286
755	3970	1281
756	3975	1276
757	3980	1270
758	3985	1265
759	3990	1260
760	3995	1254
761	4000	1249
762	4006	1244
763	4011	1239
764	4016	1233
765	4021	1228
766	4026	1223
767	4033	1218
768	4039	1213
769	4044	1208
770	4049	1202
771	4054	1197
772	4059	1192
773	4064	1186
774	4069	1181
775	4074	1176
776	4078	1170
777	4082	1165
778	4087	1159
779	4092	1154
780	4097	1148
781	4102	1143
782	4107	1138
783	4112	1132
784	4117	1127
785	4122	1122
786	4127	1117
787	4133	1111
788	4138	1106
789	4143	1101
790	4148	1096
791	4153	1090
792	4158	1085
793	4162	1079
794	4168	1074
795	4173	1069
796	4178	1064
797	4183	1058
798	4188	1053
799	4193	1048
800	4198	1043
801	4203	1037
802	4208	1032
803	4213	1027
804	4218	1021
805	4223	1016
806	4228	1011
807	4233	1005
808	4238	1000
809	4243	995
810	4248	990
811	4253	984
812	4258	979
813	4263	974
814	4268	968
815	4273	963
816	4278	958
817	4283	953
818	4288	947
819	4294	942
820	4298	937
821	4303	931
822	4308	926
823	4314	921
824	4319	916
825	4323	910
826	4328	905
827	4333	900
828	4339	895
829	4344	889
830	4349	884
831	4354	879
832	4359	873
833	4364	868
834	4368	863
835	4373	857
836	4378	852
837	4383	847
838	4388	842
839	4393	836
840	4398	831
841	4403	826
842	4408	821
843	4413	815
844	4418	810
845	4423	805
846	4428	800
847	4433	794
848	4438	789
849	4443	784
850	4448	778
851	4453	773
852	4458	768
853	4463	763
854	4468	757
855	4473	752
856	4478	747
857	4483	742
858	4488	736
859	4494	731
860	4498	726
861	4503	720
862	4508	715
863	4513	710
864	4518	705
865	4523	700
866	4529	694
867	4533	689
868	4538	684
869	4543	678
870	4549	673
871	4554	668
872	4559	663
873	4565	658
874	4571	653
875	4576	647
876	4581	642
877	4586	637
878	4592	632
879	4597	626
880	4602	621
881	4608	616
882	4613	611
883	4618	606
884	4623	600
885	4628	595
886	4633	590
887	4638	585
888	4643	579
889	4648	574
890	4654	569
891	4659	564
892	4664	558
893	4669	553
894	4674	548
895	4679	543
896	4684	537
897	4689	532
898	4694	527
899	4699	522
900	4703	516
901	4708	511
902	4713	506
903	4718	501
904	4723	495
905	4728	490
906	4733	485
907	4738	480
908	4743	474
909	4750	469
910	4755	464
911	4760	459
912	4766	454
913	4770	448
914	4775	443
915	4780	438
916	4785	433
917	4790	427
918	4795	422
